_id,area_name,attachments,author_id,channel_name,content,is_command,message_id,sent_date
60b698f205238b524e8526a9,bienvenida,null,729889913910067301,bienvenida,!validar Dana 2192927,false,849384482184364032,2021-06-01T15:30:42.851Z
60b6992905238b524e8526ab,bienvenida,null,817868111444967485,bienvenida,! validar Wendy 2202708,false,849384718121041960,2021-06-01T15:31:37.818Z
60b6995f05238b524e8526ad,bienvenida,null,729889913910067301,bienvenida,!acceder matematicas,false,849384939426152469,2021-06-01T15:32:31.627Z
60b6998d05238b524e8526ae,bienvenida,null,447780338568003626,bienvenida,!validar Juan 2211241,false,849385131265097768,2021-06-01T15:33:17.481Z
60b699b305238b524e8526af,bienvenida,null,817868111444967485,bienvenida,!validar Wendy 2202708,false,849385291035049984,2021-06-01T15:33:55.692Z
60b699de05238b524e8526b0,bienvenida,null,817868111444967485,bienvenida,!acceder inglés y francés,false,849385476296146984,2021-06-01T15:34:38.999Z
60b69a5605238b524e8526b3,matematicas,null,729889913910067301,calculo-i,!entrada,false,849385974873718815,2021-06-01T15:36:38.235Z
60b69aa605238b524e8526b5,matematicas,null,729889913910067301,calculo-i,!salida,false,849386313971269642,2021-06-01T15:37:58.806Z
60b69ae405238b524e8526b7,bienvenida,null,849384271600025620,bienvenida,!validar Yuly2193005,false,849386568267333633,2021-06-01T15:39:00.122Z
60b69b0a05238b524e8526b9,bienvenida,null,849384271600025620,bienvenida,!acceder ingles-ii,false,849386733950861352,2021-06-01T15:39:38.831Z
60b69b8f05238b524e8526be,matematicas,null,729889913910067301,calculo-i,!tutoria 2183075 60 calculo i,false,849387290388332574,2021-06-01T15:41:51.722Z
60b69bb405238b524e8526c0,bienvenida,null,203740894308859904,bienvenida,!validar Carlos 2161200,false,849387442058559518,2021-06-01T15:42:28.459Z
60b69bf505238b524e8526c2,bienvenida,null,203740894308859904,bienvenida,!validar Quintero 2161200,false,849387716511793173,2021-06-01T15:43:33.234Z
60b69c0705238b524e8526c4,bienvenida,null,771826565326700564,bienvenida,!validar Lina 2202014,false,849387790428930119,2021-06-01T15:43:51.654Z
60b69c1505238b524e8526c5,bienvenida,null,689643217989533744,bienvenida,!validar Juan 2200406,false,849387850419535892,2021-06-01T15:44:05.044Z
60b69c2c05238b524e8526c6,bienvenida,null,849383686322913301,bienvenida,¡validar Yaneth 2202145,false,849387952156049488,2021-06-01T15:44:28.904Z
60b69c4a05238b524e8526c7,bienvenida,null,748595328235733002,bienvenida,!validar Nicolás 2211543,false,849388072910848000,2021-06-01T15:44:58.973Z
60b69c5c05238b524e8526c9,bienvenida,null,849383686322913301,bienvenida,¡validar Yaneth 2202145,false,849388151004856342,2021-06-01T15:45:16.380Z
60b69c6905238b524e8526ca,bienvenida,null,748595328235733002,bienvenida,!acceder Idiomas,false,849388202611179560,2021-06-01T15:45:29.559Z
60b69c8705238b524e8526cb,bienvenida,null,339568203271372813,bienvenida,!validar Johan 2162643,false,849388324988387330,2021-06-01T15:45:59.370Z
60b69c9c05238b524e8526cd,bienvenida,null,625828186223149056,bienvenida,!validar Santiago 2210103,false,849388415681560596,2021-06-01T15:46:20.683Z
60b69c9e05238b524e8526ce,bienvenida,null,771826565326700564,bienvenida,!acceder Ingles,false,849388425093185586,2021-06-01T15:46:22.568Z
60b69cc805238b524e8526cf,bienvenida,null,339568203271372813,bienvenida,!acceder Idioma,false,849388601766707311,2021-06-01T15:47:04.314Z
60b69d1e05238b524e8526d0,bienvenida,null,625828186223149056,bienvenida,!acceder ingles-i,false,849388678127681596,2021-06-01T15:48:30.271Z
60b69d2105238b524e8526d2,bienvenida,null,339568203271372813,bienvenida,!acceder Idiomas,false,849388968276918282,2021-06-01T15:48:33.601Z
60b69d2205238b524e8526d3,bienvenida,null,297761081416482817,bienvenida,!validar Julián 2211763,false,849388836488216638,2021-06-01T15:48:34.434Z
60b69d2605238b524e8526d4,bienvenida,null,533130202411302912,bienvenida,!acceder ingles,false,849388993241546753,2021-06-01T15:48:38.633Z
60b69d8605238b524e8526d5,bienvenida,null,297761081416482817,bienvenida,!acceder idiomas,false,849389396964540446,2021-06-01T15:50:14.792Z
60b69e4f05238b524e8526d7,bienvenida,null,841706627840868363,bienvenida,!validar ELKIN 2202794,false,849390241038336080,2021-06-01T15:53:35.056Z
60b69e5905238b524e8526d8,bienvenida,null,849383686322913301,bienvenida,¡validar Yaneth 2202145,false,849390286835548230,2021-06-01T15:53:45.499Z
60b69e5b05238b524e8526d9,bienvenida,null,301180833253949440,bienvenida,"Hola yaneth, el comando debe realizarse con un signo de exclamacion hacia abajo, como este !",false,849390294138224700,2021-06-01T15:53:47.228Z
60b69e6a05238b524e8526da,bienvenida,null,841706627840868363,bienvenida,!validar elkin 2202784,false,849390352410607627,2021-06-01T15:54:02.864Z
60b69e8905238b524e8526db,bienvenida,null,849383686322913301,bienvenida,!validar Yaneth 2202145,false,849390484719927317,2021-06-01T15:54:33.953Z
60b69f1505238b524e8526de,bienvenida,null,841706627840868363,bienvenida,!acceder Frances,false,849391072165625886,2021-06-01T15:56:53.836Z
60b6a00e05238b524e8526e2,bienvenida,null,748897383173193809,bienvenida,!acceder ingles-i,false,849392115778977862,2021-06-01T16:01:02.064Z
60b6a02505238b524e8526e3,bienvenida,null,748897383173193809,bienvenida,!acceder ingles-I,false,849392212210483220,2021-06-01T16:01:25.115Z
60b6a02e05238b524e8526e4,bienvenida,null,748897383173193809,bienvenida,!acceder ingles-i,false,849392250806206505,2021-06-01T16:01:34.178Z
60b6a06305238b524e8526e5,bienvenida,null,838779274038476819,bienvenida,!validar Juana 2211340,false,849392471683366983,2021-06-01T16:02:27.839Z
60b6a06405238b524e8526e6,bienvenida,null,837381687142514690,bienvenida,!validar Pedro 2211098,false,849392471908679690,2021-06-01T16:02:28.251Z
60b6a16105238b524e8526e9,bienvenida,null,689643217989533744,bienvenida,!acceder idiomas,false,849393537707409479,2021-06-01T16:06:41.525Z
60b6a1b005238b524e8526ea,bienvenida,null,817868111444967485,bienvenida,!acceder Francés,false,849393865533554688,2021-06-01T16:08:00.114Z
60b6a1d105238b524e8526eb,bienvenida,null,700485906271961090,bienvenida,!validar Santiago 211344,false,849394009846710283,2021-06-01T16:08:33.564Z
60b6a1e205238b524e8526ec,idiomas,null,817868111444967485,frances,!valido Wendy 2202708,false,849394084459708426,2021-06-01T16:08:50.929Z
